"Medicare Part B Drug Spending and Utilization, Calendar Years 2013 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,Calendar Year 2017,,,,,,,,Yearly Change  ,
J1720,"Injection, hydrocortisone sodium succinate, up to 100 mg",Solu-Cortef*,HydrocortIsone Sod Succinate*,"$280,501","60,636","53,348","16,092",$4.63,$5.26,$17.43,"$295,431","55,350","49,312","15,386",$5.34,$5.99,$19.20,"$345,648","52,831","47,345","14,052",$6.54,$7.30,$24.60,"$410,894","54,721","49,205","14,155",$7.51,$8.35,$29.03,"$511,083","53,771","48,417","13,482",$9.50,$10.56,$37.91,$10.07,26.58%,19.73%
J1740,"Injection, ibandronate sodium, 1 mg",Boniva*,Ibandronate Sodium*,"$10,952,833","72,908","24,764","10,569",$150.23,$442.29,"$1,036.32","$9,025,770","62,329","20,112","7,809",$144.81,$448.78,"$1,155.82","$5,445,561","47,436","16,223","6,412",$114.80,$335.67,$849.28,"$4,021,272","39,249","13,584","5,240",$102.46,$296.03,$767.42,"$2,705,110","32,959","11,603","4,678",$82.07,$233.14,$578.26,$85.36,-19.89%,-14.03%
J1742,"Injection, ibutilide fumarate, 1 mg",Corvert*,Ibutilide Fumarate*,"$335,416","2,753","2,155","2,075",$121.84,$155.65,$161.65,"$263,853","2,572","2,031","1,961",$102.59,$129.91,$134.55,"$122,495","1,165",858,816,$105.15,$142.77,$150.12,"$139,489",879,667,626,$158.69,$209.13,$222.83,"$123,531",813,608,588,$151.95,$203.18,$210.09,$152.57,-4.25%,5.68%
J1743,"Injection, idursulfase, 1 mg",Elaprase,Idursulfase,"$1,002,802","2,184",60, ,$459.16,"$16,713.36", ,"$864,771","1,834",31,11,$471.52,"$27,895.85","$78,615.57","$1,951,053","4,027",74, ,$484.49,"$26,365.58", ,"$1,237,211","2,451",54, ,$504.78,"$22,911.32", ,"$1,468,256","2,856",100, ,$514.10,"$14,682.56", ,$530.10,1.85%,2.87%
J1745,"Injection, infliximab, excludes biosimilar, 10 mg",Remicade,Infliximab,"$1,096,908,345","16,346,163","347,384","60,026",$67.10,"$3,157.62","$18,273.89","$1,171,820,499","16,576,220","347,520","59,715",$70.69,"$3,371.95","$19,623.55","$1,242,339,355","16,519,598","341,071","58,683",$75.20,"$3,642.47","$21,170.34","$1,336,041,105","16,663,532","339,552","58,352",$80.18,"$3,934.72","$22,896.24","$1,341,011,663","16,046,309","322,216","56,429",$83.57,"$4,161.84","$23,764.58",$85.17,4.23%,5.64%
J1750,"Injection, iron dextran, 50 mg",Infed,Iron Dextran Complex,"$12,815,981","1,076,232","108,804","36,560",$11.91,$117.79,$350.55,"$11,667,411","989,776","97,657","33,504",$11.79,$119.47,$348.24,"$11,294,558","952,066","93,805","32,671",$11.86,$120.40,$345.71,"$9,646,182","797,325","78,601","28,522",$12.10,$122.72,$338.20,"$10,268,635","820,325","77,683","28,707",$12.52,$132.19,$357.70,$12.75,3.47%,1.26%
J1756,"Injection, iron sucrose, 1 mg",Venofer,Iron Sucrose Complex,"$8,999,603","44,385,696","200,847","38,515",$0.20,$44.81,$233.66,"$6,944,836","25,265,465","134,329","26,077",$0.27,$51.70,$266.32,"$5,332,426","21,280,560","113,179","22,251",$0.25,$47.11,$239.65,"$5,073,750","19,878,906","104,895","20,248",$0.26,$48.37,$250.58,"$4,171,311","16,687,194","88,769","17,521",$0.25,$46.99,$238.07,$0.25,-2.06%,5.37%
J1786,"Injection, imiglucerase, 10 units",Cerezyme,Imiglucerase,"$44,560,269","1,076,969","2,469",163,$41.38,"$18,047.90","$273,375.88","$43,337,177","1,050,384","2,479",168,$41.26,"$17,481.72","$257,959.39","$41,654,756","1,009,565","2,392",175,$41.26,"$17,414.20","$238,027.17","$40,251,564","977,796","2,331",151,$41.17,"$17,267.94","$266,566.65","$42,156,240","1,029,110","2,310",143,$40.96,"$18,249.45","$294,798.88",$41.77,-0.49%,-0.25%
J1800,"Injection, propranolol hcl, up to 1 mg",Propranolol HCL,Propranolol HCL,"$1,052",361,241,213,$2.92,$4.37,$4.94,$519,349,224,204,$1.49,$2.32,$2.54,$606,225,122,96,$2.69,$4.97,$6.31,$408,137,80,62,$2.98,$5.10,$6.58,$148,88,53,51,$1.68,$2.79,$2.90,$1.78,-43.54%,-12.84%
J1815,"Injection, insulin, per 5 units",Humalog (J1815)*,Insulin Lispro*,"$3,495","4,530",87,73,$0.77,$40.18,$47.88,"$2,093","1,847",114,99,$1.13,$18.36,$21.14,"$1,860","2,116",69,59,$0.88,$26.96,$31.53,"$2,636",765,75,67,$3.45,$35.15,$39.35,"$2,938","1,268",75,65,$2.32,$39.17,$45.20,$0.84,-32.77%,31.64%
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Humalog (J1817)*,Insulin Lispro*,"$13,468,607","4,995,649","47,745","12,233",$2.70,$282.09,"$1,101.01","$14,179,079","5,175,515","53,809","12,189",$2.74,$263.51,"$1,163.27","$16,959,504","6,184,656","61,777","14,562",$2.74,$274.53,"$1,164.64","$22,444,774","8,136,861","80,835","18,191",$2.76,$277.66,"$1,233.84","$91,956,713","9,726,110","95,923","21,360",$9.45,$958.65,"$4,305.09",$9.75,242.76%,36.84%
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,"$840,053","1,998,995","697,879","411,587",$0.42,$1.20,$2.04,"$728,961","2,121,941","737,693","434,921",$0.34,$0.99,$1.68,"$1,310,064","2,101,893","726,864","433,798",$0.62,$1.80,$3.02,"$1,551,563","2,306,749","799,289","473,138",$0.67,$1.94,$3.28,"$1,534,832","2,362,239","821,578","487,695",$0.65,$1.87,$3.15,$0.66,-3.40%,11.51%
J1930,"Injection, lanreotide, 1 mg",Somatuline Depot,Lanreotide Acetate,"$1,640,544","46,879",464,64,$35.00,"$3,535.66","$25,633.51","$2,485,830","63,756",628,98,$38.99,"$3,958.33","$25,365.61","$27,052,704","584,277","5,038","1,044",$46.30,"$5,369.73","$25,912.55","$79,383,198","1,628,421","13,787","2,184",$48.75,"$5,757.83","$36,347.62","$152,026,956","2,850,541","23,974","3,255",$53.33,"$6,341.33","$46,705.67",$54.15,9.40%,11.11%
J1931,"Injection, laronidase, 0.1 mg",Aldurazyme,Laronidase,"$4,554,704","163,488",316,17,$27.86,"$14,413.62","$267,923.78","$2,728,399","96,667",193,11,$28.22,"$14,136.78","$248,036.26","$1,852,974","64,050",153, ,$28.93,"$12,110.94", ,"$2,275,755","76,966",174,13,$29.57,"$13,079.05","$175,058.11","$2,879,582","95,771",230,12,$30.07,"$12,519.92","$239,965.20",$30.61,1.69%,1.92%
J1940,"Injection, furosemide, up to 20 mg",Furosemide,Furosemide,"$267,976","100,204","57,710","29,033",$2.67,$4.64,$9.23,"$399,453","100,916","56,810","28,747",$3.96,$7.03,$13.90,"$225,201","99,603","53,712","27,491",$2.26,$4.19,$8.19,"$292,771","98,762","52,927","27,025",$2.96,$5.53,$10.83,"$114,554","97,298","50,825","26,037",$1.18,$2.25,$4.40,$1.11,-60.28%,-18.54%
J1950,"Injection, leuprolide acetate (for depot suspension), per 3.75 mg",Lupron Depot*,Leuprolide Acetate*,"$2,545,722","3,696","1,727",801,$688.78,"$1,474.07","$3,178.18","$2,846,839","3,726","1,775",785,$764.09,"$1,603.85","$3,626.55","$2,910,997","3,630","1,776",734,$801.93,"$1,639.07","$3,965.94","$4,428,875","4,882","2,141",891,$907.18,"$2,068.60","$4,970.68","$5,148,230","5,560","2,388",982,$925.94,"$2,155.88","$5,242.60","$1,040.09",2.07%,7.68%
J1953,"Injection, levetiracetam, 10 mg",Keppra*,Levetiracetam*,"$8,315","24,731",87,28,$0.34,$95.57,$296.96,"$4,519","18,433",63,28,$0.25,$71.73,$161.39,$680,"3,731",45,18,$0.18,$15.11,$37.77,"$19,609","19,267",76,32,$1.02,$258.02,$612.80,"$97,729","84,649",103,30,$1.15,$948.83,"$3,257.64",$0.14,13.44%,36.13%
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin*,Levofloxacin*,"$83,146","24,693","10,040","3,765",$3.37,$8.28,$22.08,"$54,931","18,362","7,677","3,326",$2.99,$7.16,$16.52,"$45,061","19,494","7,928","3,133",$2.31,$5.68,$14.38,"$48,222","19,993","8,194","2,936",$2.41,$5.89,$16.42,"$27,756","18,008","7,621","2,680",$1.54,$3.64,$10.36,$1.41,-36.10%,-17.75%
J1980,"Injection, hyoscyamine sulfate, up to 0.25 mg",Levsin,Hyoscyamine Sulfate,"$4,246",266,220,102,$15.96,$19.30,$41.63,"$1,878",108,97,55,$17.39,$19.36,$34.15,"$3,176",142,98,95,$22.37,$32.41,$33.44,"$5,804",231,163,149,$25.12,$35.60,$38.95,"$4,578",173,113,109,$26.46,$40.51,$42.00,$27.56,5.32%,13.47%
J2001,"Injection, lidocaine hcl for intravenous infusion, 10 mg",Lidocaine HCL In 5% Dextrose,Lidocaine HCL/Dextrose 5 %/PF,"$8,756","148,070","53,763","33,294",$0.06,$0.16,$0.26,"$19,898","158,073","58,534","34,362",$0.13,$0.34,$0.58,"$18,937","169,156","64,776","38,827",$0.11,$0.29,$0.49,"$17,359","262,074","78,453","46,387",$0.07,$0.22,$0.37,"$13,948","286,789","93,898","50,551",$0.05,$0.15,$0.28,$0.02,-26.58%,-4.77%
J2010,"Injection, lincomycin hcl, up to 300 mg",Lincocin*,Lincomycin HCL*,"$1,221,455","167,533","110,072","72,307",$7.29,$11.10,$16.89,"$1,193,882","144,274","98,314","64,607",$8.28,$12.14,$18.48,"$1,210,161","126,905","86,398","58,090",$9.54,$14.01,$20.83,"$1,149,477","105,471","71,511","48,304",$10.90,$16.07,$23.80,"$1,130,601","96,093","65,658","44,697",$11.77,$17.22,$25.29,$12.48,7.96%,12.71%
J2020,"Injection, linezolid, 200 mg",Linezolid-0.9% NaCl*,Linezolid-0.9% Sodium Chloride*,"$1,676,476","42,943","3,902","2,792",$39.04,$429.65,$600.46,"$1,605,075","38,395","3,699","2,602",$41.80,$433.92,$616.86,"$1,575,134","38,542","3,773","2,484",$40.87,$417.48,$634.11,"$589,532","31,240","2,945","1,905",$18.87,$200.18,$309.47,"$44,655","2,361",679,49,$18.91,$65.77,$911.33,$15.42,0.23%,-16.57%
J2060,"Injection, lorazepam, 2 mg",Ativan*,Lorazepam*,"$52,563","61,335","58,260","17,159",$0.86,$0.90,$3.06,"$42,515","56,526","54,727","16,276",$0.75,$0.78,$2.61,"$37,675","49,788","48,663","14,670",$0.76,$0.77,$2.57,"$37,928","47,083","46,101","13,648",$0.81,$0.82,$2.78,"$34,055","41,063","38,996","12,140",$0.83,$0.87,$2.81,$0.78,2.95%,-0.82%
J2150,"Injection, mannitol, 25% in 50 ml",Mannitol,Mannitol,"$49,554","28,469","19,683","5,405",$1.74,$2.52,$9.17,"$60,732","33,049","23,743","5,561",$1.84,$2.56,$10.92,"$48,792","31,572","21,886","5,206",$1.55,$2.23,$9.37,"$48,184","29,790","21,328","4,925",$1.62,$2.26,$9.78,"$45,853","24,259","17,226","4,081",$1.89,$2.66,$11.24,$1.93,16.86%,2.08%
J2175,"Injection, meperidine hydrochloride, per 100 mg",Demerol*,Meperidine HCL*,"$149,562","67,945","58,525","26,352",$2.20,$2.56,$5.68,"$200,751","55,527","48,549","22,295",$3.62,$4.14,$9.00,"$216,111","49,859","42,554","19,623",$4.33,$5.08,$11.01,"$186,612","41,507","36,757","16,534",$4.50,$5.08,$11.29,"$163,067","34,044","29,789","13,562",$4.79,$5.47,$12.02,$5.06,6.54%,21.45%
J2185,"Injection, meropenem, 100 mg",Meropenem*,Meropenem*,"$99,523","73,001","4,188",335,$1.36,$23.76,$297.08,"$76,248","64,787","4,108",417,$1.18,$18.56,$182.85,"$132,631","114,502","5,221",498,$1.16,$25.40,$266.33,"$157,259","103,145","6,350",609,$1.52,$24.77,$258.22,"$240,452","158,042","8,510",756,$1.52,$28.26,$318.06,$1.23,-0.21%,2.78%
J2248,"Injection, micafungin sodium, 1 mg",Mycamine,Micafungin Sodium,"$1,384,114","1,482,086","6,669","1,351",$0.93,$207.54,"$1,024.51","$1,339,414","1,385,405","6,817","1,304",$0.97,$196.48,"$1,027.16","$1,271,978","1,432,110","6,394","1,230",$0.89,$198.93,"$1,034.13","$196,730","206,267","1,567",147,$0.95,$125.55,"$1,338.30","$243,256","251,915","1,763",164,$0.97,$137.98,"$1,483.27",$0.95,1.24%,0.84%
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL*,Midazolam HCL*,"$91,521","532,116","200,962","103,976",$0.17,$0.46,$0.88,"$77,812","537,426","204,769","103,702",$0.14,$0.38,$0.75,"$72,397","530,527","203,111","102,845",$0.14,$0.36,$0.70,"$77,375","542,389","205,565","104,929",$0.14,$0.38,$0.74,"$66,067","536,420","205,610","109,863",$0.12,$0.32,$0.60,$0.12,-13.66%,-8.01%
J2260,"Injection, milrinone lactate, 5 mg",Milrinone In 5% Dextrose*,Milrinone Lactate/D5W*,"$115,885,338","2,343,338","31,033","1,925",$49.45,"$3,734.26","$60,200.18","$127,258,304","2,570,156","34,689","2,065",$49.51,"$3,668.55","$61,626.30","$138,906,842","2,909,539","40,550","2,268",$47.74,"$3,425.57","$61,246.40","$151,451,671","3,174,240","47,641","2,560",$47.71,"$3,179.02","$59,160.81","$8,789,105","2,995,361","48,985","3,001",$2.93,$179.42,"$2,928.73",$2.06,-93.85%,-50.65%
J2270,"Injection, morphine sulfate, up to 10 mg",Morphine Sulfate*,Morphine Sulfate*,"$138,106","68,269","16,048","8,776",$2.02,$8.61,$15.74,"$139,687","108,416","16,388","8,711",$1.29,$8.52,$16.04,"$166,254","234,113","15,742","8,111",$0.71,$10.56,$20.50,"$127,932","157,291","14,552","7,680",$0.81,$8.79,$16.66,"$128,981","98,028","12,700","6,921",$1.32,$10.16,$18.64,$1.62,61.77%,-10.20%
J2274,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg",Duramorph*,Morphine Sulfate/PF*, , , , , , , ,"$1,535,073","173,211","3,224","1,443",$8.86,$476.14,"$1,063.81","$3,029,574","389,957","7,955","2,683",$7.77,$380.84,"$1,129.17","$2,758,891","354,251","7,648","2,411",$7.79,$360.73,"$1,144.29","$3,434,236","352,099","6,365","2,108",$9.75,$539.55,"$1,629.14",$10.67,25.24%,3.25%
J2278,"Injection, ziconotide, 1 microgram",Prialt,Ziconotide Acetate,"$5,388,172","799,733","2,421",717,$6.74,"$2,225.60","$7,514.88","$5,456,516","815,303","2,368",726,$6.69,"$2,304.27","$7,515.86","$5,737,078","836,661","2,359",745,$6.86,"$2,432.00","$7,700.78","$5,866,149","824,868","2,346",708,$7.11,"$2,500.49","$8,285.52","$6,181,592","850,115","2,451",705,$7.27,"$2,522.07","$8,768.22",$7.35,2.25%,1.93%
J2300,"Injection, nalbuphine hydrochloride, per 10 mg",Nalbuphine HCL,Nalbuphine HCL,"$56,668","51,512","30,406","8,690",$1.10,$1.86,$6.52,"$84,207","44,088","28,337","8,348",$1.91,$2.97,$10.09,"$93,369","39,151","24,587","7,589",$2.38,$3.80,$12.30,"$62,200","26,928","20,421","6,563",$2.31,$3.05,$9.48,"$63,486","25,614","19,320","5,581",$2.48,$3.29,$11.38,$2.55,7.30%,22.52%
J2310,"Injection, naloxone hydrochloride, per 1 mg",Naloxone HCL,Naloxone HCL,"$19,430","1,398",730,590,$13.90,$26.62,$32.93,"$29,809","1,181",633,481,$25.24,$47.09,$61.97,"$24,029",936,573,446,$25.67,$41.94,$53.88,"$11,969",475,344,307,$25.19,$34.80,$38.99,"$8,115",355,282,258,$22.84,$28.78,$31.45,$28.03,-9.35%,13.22%
J2315,"Injection, naltrexone, depot form, 1 mg",Vivitrol,Naltrexone Microspheres,"$692,059","250,141",816,225,$2.77,$848.11,"$3,075.82","$647,577","239,690",846,276,$2.70,$765.46,"$2,346.29","$859,208","289,080","1,066",344,$2.97,$806.01,"$2,497.70","$1,157,617","371,265","1,341",421,$3.12,$863.25,"$2,749.68","$1,473,112","464,080","1,568",440,$3.17,$939.48,"$3,347.98",$3.25,1.80%,3.50%
J2323,"Injection, natalizumab, 1 mg",Tysabri,Natalizumab,"$229,744,761","18,458,779","61,200","7,965",$12.45,"$3,754.00","$28,844.29","$255,760,145","18,078,439","59,919","7,290",$14.15,"$4,268.43","$35,083.70","$288,757,937","18,389,702","61,036","7,260",$15.70,"$4,730.94","$39,773.82","$305,695,356","17,875,455","59,342","7,105",$17.10,"$5,151.42","$43,025.38","$300,729,996","16,219,825","53,984","6,656",$18.54,"$5,570.72","$45,181.79",$19.10,8.42%,10.48%
J2353,"Injection, octreotide, depot form for intramuscular injection, 1 mg",Sandostatin Lar*,"Octreotide Acetate,mi-Spheres*","$303,256,519","2,314,067","79,547","10,133",$131.05,"$3,812.29","$29,927.61","$341,202,086","2,625,828","84,895","10,586",$129.94,"$4,019.11","$32,231.45","$379,667,189","2,570,626","87,603","10,891",$147.69,"$4,333.95","$34,860.64","$411,102,455","2,563,782","87,174","10,699",$160.35,"$4,715.88","$38,424.38","$421,256,404","2,400,761","82,061","10,037",$175.47,"$5,133.45","$41,970.35",$179.08,9.43%,7.57%
J2357,"Injection, omalizumab, 5 mg",Xolair,Omalizumab,"$176,773,641","7,337,456","106,380","9,435",$24.09,"$1,661.72","$18,735.95","$219,905,074","8,425,834","122,530","11,453",$26.10,"$1,794.70","$19,200.65","$272,543,703","9,654,165","141,410","13,294",$28.23,"$1,927.33","$20,501.26","$327,585,734","10,746,546","158,700","14,993",$30.48,"$2,064.18","$21,849.25","$379,627,463","11,540,968","171,388","16,051",$32.89,"$2,215.02","$23,651.33",$33.62,7.91%,8.10%
J2358,"Injection, olanzapine, long-acting, 1 mg",Zyprexa Relprevv,Olanzapine Pamoate,"$250,917","92,482","1,292",944,$2.71,$194.21,$265.80,"$311,852","115,411","1,471","1,057",$2.70,$212.00,$295.04,"$284,609","101,361","1,466","1,127",$2.81,$194.14,$252.54,"$189,724","66,067","1,306","1,052",$2.87,$145.27,$180.35,"$149,674","54,958","1,113",921,$2.72,$134.48,$162.51,$2.92,-5.16%,0.09%
J2360,"Injection, orphenadrine citrate, up to 60 mg",Orphenadrine Citrate,Orphenadrine Citrate,"$144,356","23,257","17,526","6,770",$6.21,$8.24,$21.32,"$150,877","25,874","18,256","7,109",$5.83,$8.26,$21.22,"$114,012","24,054","18,587","7,847",$4.74,$6.13,$14.53,"$96,261","21,068","16,554","7,820",$4.57,$5.81,$12.31,"$108,867","20,447","15,916","7,928",$5.32,$6.84,$13.73,$5.42,16.53%,-3.76%
J2400,"Injection, chloroprocaine hydrochloride, per 30 ml",Nesacaine*,Chloroprocaine HCL*,"$37,077","2,623","1,426",864,$14.14,$26.00,$42.91,"$29,111","1,624","1,318",694,$17.93,$22.09,$41.95,"$18,131",918,616,325,$19.75,$29.43,$55.79,"$6,492",357,249,158,$18.18,$26.07,$41.09,"$7,294",353,218,165,$20.66,$33.46,$44.20,$25.97,13.62%,9.96%
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL (J2405)*,Ondansetron HCL*,"$683,107","4,353,774","345,483","73,869",$0.16,$1.98,$9.25,"$441,397","4,323,783","357,148","76,684",$0.10,$1.24,$5.76,"$351,840","4,062,795","353,147","78,119",$0.09,$1.00,$4.50,"$409,675","3,919,419","352,023","78,823",$0.10,$1.16,$5.20,"$314,416","3,497,500","327,676","76,959",$0.09,$0.96,$4.09,$0.09,-13.99%,-13.00%
J2407,"Injection, oritavancin, 10 mg",Orbactiv,Oritavancin Diphosphate, , , , , , , , , , , , , , , , , , , , , ,"$4,801,517","197,055","1,702","1,430",$24.37,"$2,821.10","$3,357.70","$7,175,861","306,120","2,561","1,920",$23.44,"$2,801.98","$3,737.43",$23.74,-3.80%,-3.80%
J2425,"Injection, palifermin, 50 micrograms",Kepivance,Palifermin,"$443,804","33,439",188,118,$13.27,"$2,360.66","$3,761.05","$416,537","28,894",163,104,$14.42,"$2,555.44","$4,005.16","$458,314","30,057",168,107,$15.25,"$2,728.06","$4,283.31","$506,715","30,254",178,113,$16.75,"$2,846.72","$4,484.21","$542,655","30,070",174,107,$18.05,"$3,118.71","$5,071.54",$18.43,7.75%,7.98%
J2426,"Injection, paliperidone palmitate extended release, 1 mg",Invega Sustenna,Paliperidone Palmitate,"$12,080,164","1,680,705","10,754","2,223",$7.19,"$1,123.32","$5,434.17","$14,503,895","1,917,407","12,202","2,460",$7.56,"$1,188.65","$5,895.89","$14,973,748","1,871,690","13,221","2,654",$8.00,"$1,132.57","$5,641.95","$15,214,003","1,815,858","11,809","2,515",$8.38,"$1,288.34","$6,049.31","$17,285,434","1,916,099","11,856","2,404",$9.02,"$1,457.95","$7,190.28",$9.73,7.67%,5.84%
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,"$581,849","57,124","22,588","5,330",$10.19,$25.76,$109.16,"$425,697","38,950","15,955","3,777",$10.93,$26.68,$112.71,"$347,470","30,512","12,593","3,065",$11.39,$27.59,$113.37,"$289,756","24,910","10,467","2,571",$11.63,$27.68,$112.70,"$193,307","20,275","8,497","2,174",$9.53,$22.75,$88.92,$9.53,-18.03%,-1.64%
J2469,"Injection, palonosetron hcl, 25 mcg",Aloxi,Palonosetron HCL,"$185,242,005","9,776,111","923,100","161,023",$18.95,$200.67,"$1,150.41","$182,130,300","9,473,483","889,919","158,147",$19.23,$204.66,"$1,151.65","$177,922,539","8,883,999","831,920","152,566",$20.03,$213.87,"$1,166.20","$184,963,199","8,451,698","788,693","149,021",$21.88,$234.52,"$1,241.19","$166,689,590","7,685,684","716,190","138,942",$21.69,$232.74,"$1,199.71",$22.03,-0.90%,3.43%
J2501,"Injection, paricalcitol, 1 mcg",Paricalcitol*,Paricalcitol*,"$1,554,268","2,873,793","64,411","8,688",$0.54,$24.13,$178.90,"$54,812","31,463",566,100,$1.74,$96.84,$548.12,$84,63,57,26,$1.33,$1.47,$3.22,"$1,549",488,121,46,$3.18,$12.80,$33.68,"$1,325","1,194",198,47,$1.11,$6.69,$28.19,$1.13,-65.05%,19.68%
J2505,"Injection, pegfilgrastim, 6 mg",Neulasta,Pegfilgrastim,"$1,097,375,675","370,729","355,558","100,727","$2,960.05","$3,086.35","$10,894.55","$1,172,854,885","358,643","343,102","98,432","$3,270.26","$3,418.39","$11,915.38","$1,259,389,883","354,691","338,890","96,536","$3,550.67","$3,716.22","$13,045.81","$1,374,291,300","355,238","338,844","95,906","$3,868.65","$4,055.82","$14,329.57","$1,400,100,685","337,976","322,379","91,233","$4,142.60","$4,343.03","$15,346.43","$4,219.14",7.08%,8.77%
J2507,"Injection, pegloticase, 1 mg",Krystexxa,Pegloticase,"$8,211,269","20,140","2,331",301,$407.71,"$3,522.64","$27,279.96","$11,337,840","17,204","2,029",269,$659.02,"$5,587.90","$42,148.11","$17,890,925","18,099","2,133",292,$988.50,"$8,387.68","$61,270.29","$26,686,885","18,787","2,205",308,"$1,420.50","$12,102.90","$86,645.73","$44,967,319","24,463","2,879",408,"$1,838.18","$15,619.08","$110,214.02","$1,905.33",29.40%,45.72%
J2510,"Injection, penicillin g procaine, aqueous, up to 600,000 units",Penicillin G Procaine,Penicillin G Procaine,"$28,280","2,105","1,506","1,109",$13.43,$18.78,$25.50,"$26,930","1,808","1,267",867,$14.90,$21.26,$31.06,"$26,020","1,444",939,688,$18.03,$27.71,$37.82,"$60,789","2,708",647,442,$22.45,$93.96,$137.53,"$6,192",297,206,129,$20.85,$30.06,$48.00,$27.72,-7.13%,11.61%
J2540,"Injection, penicillin g potassium, up to 600,000 units",Penicillin G Potassium*,Penicillin G Potassium*,"$28,959","49,347","1,025",176,$0.59,$28.25,$164.54,"$30,121","46,565",699,248,$0.65,$43.09,$121.46,"$36,793","43,995",823,321,$0.84,$44.71,$114.62,"$58,365","60,698",860,234,$0.96,$67.87,$249.42,"$54,468","52,198",943,235,$1.04,$57.76,$231.78,$1.06,8.52%,15.48%
J2543,"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)",Piperacillin-Tazobactam*,Piperacillin Sodium/Tazobactam*,"$252,738","99,193","6,182",794,$2.55,$40.88,$318.31,"$203,334","103,332","4,396",883,$1.97,$46.25,$230.28,"$103,475","40,490","1,884",577,$2.56,$54.92,$179.33,"$114,096","30,531","2,396",586,$3.74,$47.62,$194.70,"$161,107","39,074","2,808",705,$4.12,$57.37,$228.52,$2.85,10.33%,12.79%
