State/Muncipality,Primary Substance,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Lee,Marijuana,0.08,not available,0.07,not available,0.105,not available,not available,not available,not available,not available
Lee,None,not available,0.084,0.061,0.094,not available,not available,not available,not available,not available,not available
Lee,Opioids,0.376,0.316,0.339,0.307,0.351,0.355,0.284,0.342,0.49,0.39
Lee,Other,0.056,not available,0.061,0.111,not available,not available,not available,not available,not available,not available
Leicester,Alcohol,0.552,0.427,0.526,0.517,0.349,0.32,0.272,0.323,0.396,0.302
Leicester,Marijuana,0.143,0.109,0.15,0.155,0.147,0.094,0.096,0.085,0.115,0.095
Leicester,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Leicester,Opioids,0.229,0.336,0.24,0.276,0.372,0.539,0.587,0.539,0.469,0.564
Leicester,Other,not available,0.073,0.068,not available,0.132,not available,not available,0.046,not available,not available
Lenox,Alcohol,0.489,0.436,0.594,0.732,0.646,0.78,0.904,0.63,0.662,0.5
Lenox,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lenox,None,not available,0.127,0.188,not available,not available,not available,not available,not available,not available,not available
Lenox,Opioids,0.156,0.363,not available,not available,0.313,0.102,not available,0.111,0.25,0.375
Lenox,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Leominster,Alcohol,0.415,0.42,0.433,0.482,0.427,0.524,0.457,0.337,0.353,0.287
Leominster,Marijuana,0.073,0.083,0.072,0.086,0.102,0.048,0.065,0.054,0.052,0.026
Leominster,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Leominster,Opioids,0.419,0.374,0.393,0.345,0.379,0.361,0.395,0.513,0.537,0.64
Leominster,Other,0.085,0.11,0.1,0.082,0.087,0.068,0.084,0.094,0.048,0.046
Leverett,Alcohol,0.643,not available,not available,not available,0.889,not available,0.818,not available,not available,not available
Leverett,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Leverett,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Leverett,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Leverett,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lexington,Alcohol,0.662,0.595,0.519,0.463,0.459,0.512,0.5,0.434,0.347,0.337
Lexington,Marijuana,0.117,0.108,not available,0.239,0.082,0.1,not available,not available,not available,not available
Lexington,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lexington,Opioids,0.169,0.135,0.212,0.179,0.377,0.325,0.389,0.505,0.573,0.57
Lexington,Other,not available,not available,not available,not available,0.071,not available,not available,not available,not available,not available
Leyden,Alcohol,0.545,not available,not available,not available,0.889,not available,not available,not available,not available,not available
Leyden,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Leyden,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Leyden,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Leyden,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lincoln,Alcohol,0.643,0.778,0.545,0.733,not available,0.765,0.583,0.458,0.316,0.545
Lincoln,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lincoln,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lincoln,Opioids,not available,not available,not available,not available,0.353,not available,not available,0.292,0.632,not available
Lincoln,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Littleton,Alcohol,0.714,0.55,0.729,0.759,0.442,0.372,0.571,0.5,0.519,0.596
Littleton,Marijuana,not available,not available,not available,not available,not available,not available,not available,0.086,not available,not available
Littleton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Littleton,Opioids,0.143,0.25,0.229,0,0.419,0.535,0.333,0.314,0.37,0.298
Littleton,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Longmeadow,Alcohol,0.6,0.703,0.557,0.525,0.614,0.469,0.481,0.484,0.481,0.458
Longmeadow,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Longmeadow,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Longmeadow,Opioids,0.2,0.188,0.271,0.328,0.243,0.418,0.365,0.328,0.426,0.479
Longmeadow,Other,not available,not available,not available,not available,not available,0.061,not available,not available,not available,not available
Lowell,Alcohol,0.33,0.358,0.356,0.398,0.411,0.364,0.337,0.327,0.312,0.297
Lowell,Marijuana,0.062,0.066,0.058,0.073,0.064,0.073,0.078,0.066,0.072,0.057
Lowell,None,not available,not available,not available,0.003,not available,not available,not available,not available,not available,not available
Lowell,Opioids,0.551,0.511,0.497,0.44,0.444,0.492,0.516,0.554,0.56,0.599
Lowell,Other,0.057,0.063,0.087,0.087,0.08,0.071,0.068,0.051,0.054,0.046
Ludlow,Alcohol,0.328,0.299,0.254,0.332,0.37,0.32,0.302,0.301,0.237,0.288
Ludlow,Marijuana,0.163,0.201,0.261,0.222,0.196,0.274,0.231,0.254,0.26,0.18
Ludlow,None,not available,0.035,0.016,not available,not available,not available,not available,not available,not available,not available
Ludlow,Opioids,0.35,0.31,0.288,0.279,0.299,0.301,0.339,0.36,0.415,0.433
Ludlow,Other,0.154,0.148,0.18,0.165,0.134,0.103,0.124,0.085,0.086,0.1
Lunenburg,Alcohol,0.435,0.52,0.56,0.639,0.745,0.68,0.516,0.402,0.455,0.366
Lunenburg,Marijuana,0.065,0.127,0.09,0.096,0.128,not available,0.097,0.087,not available,not available
Lunenburg,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lunenburg,Opioids,0.454,0.275,0.22,0.145,not available,0.16,0.371,0.457,0.477,0.512
Lunenburg,Other,not available,0.059,0.07,not available,not available,not available,not available,not available,not available,not available
Lynn,Alcohol,0.312,0.313,0.294,0.277,0.279,0.288,0.283,0.276,0.251,0.235
Lynn,Marijuana,0.063,0.076,0.061,0.066,0.054,0.057,0.055,0.057,0.052,0.036
Lynn,None,not available,not available,not available,0.006,0.002,not available,not available,not available,not available,not available
Lynn,Opioids,0.544,0.507,0.55,0.537,0.589,0.585,0.576,0.6,0.639,0.667
Lynn,Other,0.082,0.101,0.094,0.115,0.076,0.069,0.085,0.067,0.056,0.062
Lynnfield,Alcohol,0.329,0.387,0.471,0.494,0.416,0.455,0.292,0.252,0.3,0.246
Lynnfield,Marijuana,not available,not available,not available,not available,not available,not available,not available,0.046,not available,not available
Lynnfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lynnfield,Opioids,0.468,0.573,0.368,0.379,0.483,0.5,0.602,0.626,0.592,0.664
Lynnfield,Other,0.127,not available,not available,not available,not available,not available,0.053,0.046,not available,0.049
Malden,Alcohol,0.199,0.213,0.24,0.217,0.205,0.236,0.268,0.243,0.246,0.24
Malden,Marijuana,0.043,0.047,0.03,0.039,0.046,0.043,0.028,0.029,0.036,0.025
Malden,None,not available,not available,not available,not available,not available,not available,not available,not available,0.007,not available
Malden,Opioids,0.681,0.676,0.649,0.669,0.671,0.654,0.646,0.674,0.664,0.672
Malden,Other,0.072,0.064,0.077,0.075,0.076,0.067,0.057,0.052,0.047,0.059
Manchester,Alcohol,0.758,0.733,0.609,0.826,0.846,0.643,0.577,0.575,0.771,0.667
Manchester,Marijuana,not available,not available,not available,not available,not available,not available,not available,0.2,not available,not available
Manchester,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Manchester,Opioids,not available,not available,not available,not available,not available,0.25,0.308,0.225,not available,0.259
Manchester,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Mansfield,Alcohol,0.588,0.618,0.599,0.644,0.557,0.559,0.51,0.478,0.594,0.46
Mansfield,Marijuana,0.061,0.076,0.048,0.047,0.093,0.063,not available,0.049,not available,not available
Mansfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Mansfield,Opioids,0.299,0.206,0.299,0.269,0.309,0.323,0.433,0.44,0.348,0.46
Mansfield,Other,not available,0.092,not available,not available,not available,not available,not available,not available,not available,not available
Marblehead,Alcohol,0.65,0.583,0.619,0.566,0.57,0.616,0.598,0.686,0.587,0.516
Marblehead,Marijuana,0.073,0.068,0.082,0.044,0.126,0.099,0.084,0.05,0.063,0.065
Marblehead,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Marblehead,Opioids,0.234,0.288,0.261,0.33,0.259,0.245,0.307,0.214,0.322,0.399
Marblehead,Other,not available,0.053,not available,not available,not available,not available,not available,not available,not available,not available
